,Tweet,User - Location,User - Followers,Classificacao,Sentimento,NaiveBayes
3053,merec prec just tud tributaca alt pouc retorn sociedad reduca ja #pec51 #abaixeimpostogam #ps5exboxmaisbarat #abaixeimpostodeimportaca,,2,Negativo,0,Negativo
945,met,"Fortaleza, Brasil",29,Neutro,2,Neutro
761,autu sao um lea agor atend contribuint sao um gat,,170,Negativo,0,Negativo
344,aind cogit tax lucr divid,"Rio de Janeiro, Brasil",1406,Neutro,2,Neutro
1192,3o grup logis prest apoi transport mater do doaco esta it medicoshospital equip eletron informa #maoamig #juntossomosmaisfort,"Porto Alegre, Brasil",121473,Positivo,1,Positivo
1649,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,"Acopiara, Brasil",1714,Positivo,1,Positivo
2060,flavi bolsonar advog tre reunio ped dad ate aparelh,İtália,203,Negativo,0,Negativo
1686,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,"São Paulo, Brasil",2392,Positivo,1,Positivo
256,investig fund vao cheg gent graud,Belo Horizonte,132,Negativo,0,Negativo
1646,#atend | inform pendenc relat cadastr pesso fisic cpf pod ser regular mei canal virtual atend vem sab mais,POR AÍ...,9909,Positivo,1,Positivo
1802,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,"Manaus, Brasil",0,Positivo,1,Positivo
57,olh so bem perfil ligaca dir,Brasil,5581,Positivo,1,Positivo
2950,verdad,,3,Neutro,2,Neutro
2669,mand email mand,,1701,Negativo,0,Negativo
91,interess ped list doad cpf possi aparecera doaco suspeit,,288,Neutro,2,Neutro
921,volt 2 mes clt so aceit part 3 pj alo so n pod eh brig com pastel covid,"Massachusetts, USA",1479,Negativo,0,Negativo
440,melhor ter fic quiet,colle 쭌,107,Negativo,0,Negativo
1312,ser 2021 conseguira forc entr tesour igrej melhor cham lavand igrej,"Camaquã, Brasil",175,Positivo,1,Positivo
226,so peg invest glob,"Belo Horizonte, Minas Gerais",24450,Neutro,2,Neutro
2121,precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,"Abaetetuba, Brasil",117,Positivo,1,Positivo
1995,#esoc | quas seil milho empreg domes pal ja pod pag gui document arrecadaca simpl domes mei qr cod #pix vej inovaca implement #serpr,Brasília-DF,153,Positivo,1,Positivo
2677,ja q aqu aproveit pergunt suspensa escud milh cpf q pass investigaca criv qualqu especi acompanh parec q li cf q tod igual per lei,DF,5885,Negativo,0,Negativo
1475,apreend quas 3 tonel cocain port sant litor sp drog escond carg bobin alumini lev holand mai apreensa cocain ja feit local,,36,Positivo,1,Positivo
259,acus roub dinh publ advog tre reunio ped dad,Fortaleza Ceará,3337,Neutro,2,Neutro
145,cpf numer err,Arujá - São Paulo - Brasil,3391,Neutro,2,Neutro
1026,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,Brasil,2052667,Positivo,1,Positivo
261,ne,Recife,171,Neutro,2,Neutro
2405,fraud impost hoj empresari trabalh vai cade pag promet pag dev sindifisc sindicat nacion auditoresfisc feder propo mud reform tr,Cu,438,Neutro,2,Neutro
532,pod cit 5 pesso vc conhec olh denunc,"São Bernardo do Campo, Brasil",97,Neutro,2,Neutro
1086,daqu trinch mandat consegu document deix clar uso atrapalh apuraca judic crim filh presid usa maquin proteg filh amig milici,"Brasília, Brazil",4132,Neutro,2,Neutro
1327,contribuint declaraca ret malh concord val lanc ja pod apresent defês mei ecac necess comparec unidad atend,Brasil,331670,Positivo,1,Positivo
2896,#querobolsonaroate2026,Alta Floresta MT - brasil,2330,Neutro,2,Neutro
2487,93 dia demor ser entreg pq segur um dia,"São Paulo, Brazil",14388,Negativo,0,Negativo
1688,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,"London, England",2929,Positivo,1,Positivo
1835,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,Brasil,52045,Positivo,1,Positivo
2403,olh pens lavajat ganh corp,,7570,Neutro,2,Neutro
209,recolh ins dest trabalh trabalh escrav #followthemoney,Estados Unidos,253,Neutro,2,Neutro
2149,so ha diz seguint brasil lei thread int form opinia conclu mao est alo mexams #bolsonaroate2026,,9749,Negativo,0,Negativo
2923,vai ter prefeit pres,"Belo Horizonte, Brasil",25,Neutro,2,Neutro
89,alowww crim fiscal,São Paulo ,42,Positivo,1,Positivo
266,camar diz fal ate passe muit honorari advog ser cofr la ilh tip reserv medic,Brazil,1,Negativo,0,Negativo
2662,pal vici subsidi ate sociedad brasil vai conviv nivel tao elev subsidi set produ estim 307 9 bilho nest ano pouc abaix 4% produt intern brut pib,,20682,Neutro,2,Neutro
1487,ser advog pcc mand dar corre jornal,"Cariacica, Esp. Santo, BRASIL.",2173,Neutro,2,Neutro
1297,parab,B.V. do Caracol - Trairao - PA,1975,Positivo,1,Positivo
2222,man pix aparec nom antig cont est joa felip pqp constrang client vei pergunt pq aparec nom kkkkkk odei,"Aracaju, Brasil",645,Negativo,0,Negativo
2530,abin detalh funcion supost organizaca crimin atuaca rfb que segund suspeit advog flavi feit escrutini ileg dad fiscal,,2308,Negativo,0,Negativo
2629,sincroniz informaco cad 60 dia iss algum atualizaca dad est document recent ser necessari aguard period +,,84649,Neutro,2,Neutro
2313,kkkkkkkkkkkkkk sab livr tax,"São Paulo, Brazil",17225,Neutro,2,Neutro
2904,eit foc tag divert #querobolsonaroate2026,Brasil,547,Neutro,2,Neutro
237,cas res est sao paul acess fac reclamaca,São Paulo,57228,Neutro,2,Neutro
108,aceit investigaca contr ele orden par mand prend express contr faz conchav ser arranc la sen maior compost corrupt dess sistem podr,"Rio de Janeiro, Brasil",884,Negativo,0,Negativo
103,unic cois import #abin atuaca altiv independ vir nenhum ilicit ate agor,Papuda,74,Positivo,1,Positivo
2032,flavi bolsonar advog tre reunio ped dad ate aparelh,"Mogi Guaçu, Brasil",466,Negativo,0,Negativo
513,marc valeri diz lul jos dirc mand mort cels daniel quant assassinat lul pt ja execut tent fac contr jair bolsonar fern haddad ganh eleico 2018 pt rastr sang crim assassinat,São Paulo,0,Neutro,2,Neutro
434,deu fal asn,,5415,Neutro,2,Neutro
902,dificult importaca sobretax produt vend brasil pox,"Ipatinga, Brasil",262,Negativo,0,Negativo
784,tao cans pag tant impost impost impost impost elev impost impost elev enes enes multiplic mil men retorn nadaaaa,SUCUPIRÁ - BRASIL. ,29,Negativo,0,Negativo
1682,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,"Rio Claro, Brasil",473,Positivo,1,Positivo
1575,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Belo Horizonte, Brasil",1486,Positivo,1,Positivo
232,amig odiooo ja compr uma 10 vez so tax 1 vez prim pi criteri faz liter sort ja vi gent ped shein divid compr 2 pacot ser tax 2 pacot sej val pen,,693,Negativo,0,Negativo
2490,serv porr nenhum facil qq milici suburbi sac par err ness enriquec suspeit bost rf,Brasil - Rio de Janeiro,44,Negativo,0,Negativo
1861,federl ampli ate 31 marc 2021 dispens necess apresent document orig cop autentic solic serv prest esclarec saib mais #rfb #receitafeder #praz #serv,"Ohio, USA",420,Positivo,1,Positivo
2196,remedi algu seri assum ir atr dess gent qdo tud acab,"Caxias do Sul, RS",456,Negativo,0,Negativo
1495,sab pendenc relat cpf pod ser regular grac canal virtual cas opt red conveni banc brasil caix econom feder correi cartori cust apen 7,Ponta Grossa - Pr -Brasil,3877,Positivo,1,Positivo
1764,#cpf atend cpf cartori registr civil ja real tod brasil saib mais #rfb #cpf #cartori #atend #receitafeder,,760,Positivo,1,Positivo
572,voc fiz apreensa importaca envi not fiscal invoc loj produt ileg sao 3 relogi compr invict eua ileg niss ped revisa tribut apreend it dar justific,,40,Negativo,0,Negativo
1556,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,229,Positivo,1,Positivo
1672,cumpr oit mand busc uruguai investigaca combat grup crimin responsa pra delit desc vinh espum argentin brasil aca apoi forc nacion seguranc publ,"Novo Hamburgo, RS",476,Positivo,1,Positivo
2425,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,,410,Neutro,2,Neutro
1247,ignoranc,,181,Neutro,2,Neutro
2160,tud pag impost rend dev,Brasília-DF Brasil,3526,Neutro,2,Neutro
598,feder reconhecid compost compet arrecad vem equivocad dificult acess sistem sao pouc amiga,,210,Negativo,0,Negativo
2054,flavi bolsonar advog tre reunio ped dad ate aparelh,"Rio de Janeiro, Brasil",263,Negativo,0,Negativo
1055,atenca precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,CEARÁ S C !!!,1344,Positivo,1,Positivo
1453,agor sab realiz sonh ser #empreend form conhec parc apo jorn,"Texas, USA",706,Positivo,1,Positivo
235,bom dia eric codig defês consum artig 39 incis iii prescrev pra abus envi entreg consum solicitaca prev qualqu produt fornec qualqu serv,São Paulo,57228,Neutro,2,Neutro
1258,arrecadaca melhor desempenh novembr seil ano marcel camargo/agenc brasil,"São Caetano do Sul, Brasil",2181,Positivo,1,Positivo
2607,lig merd feder so car n atend merd telefon 3 dia lig fic toc min 5 minut iss dai so hj aiaiai,"Santa Maria, Brasil",33,Negativo,0,Negativo
1745,#cpf atend cpf cartori registr civil ja real tod brasil saib mais #rfb #cpf #cartori #atend #receitafeder,Brasil ,8,Positivo,1,Positivo
1318,alo alo ser vc pod ajud parcel segur desempreg par cair desd outubr apo solicitaca recalcul,"Porto Alegre, Brasil",359,Negativo,0,Negativo
175,#exercitoeuconfi #pazuelloeuconfi #marinhaeuconfi #fabeuconfi #pfeuconfi #prfeuconfi,Brazil,17,Positivo,1,Positivo
1072,caralh vai tom cu orga inutil caralh bast tax cois dev ser tax bast tax pres pag agor ta barr envi produt devoluca consegu devolv perc dinh band fdp corn,Playstation 2,22,Negativo,0,Negativo
670,absurd quant voc roub pension aind faz tud pag restituica vergonh,"California, USA",289,Negativo,0,Negativo
83,ter dinh ant ne,,11633,Neutro,2,Neutro
1878,rfb sao paul apreend me dezembr divers tip drog outr produt nociv saud apreenso ocorr recint importaca exportaca correi saib mais #receitafeder #adu #apreensa,Brasil ,8,Positivo,1,Positivo
110,gmt 2dat,"New York, NY",12,Neutro,2,Neutro
53,vai faz oq ped declar, bsb,877,Neutro,2,Neutro
2024,flavi bolsonar advog tre reunio ped dad ate aparelh, Brasil,295,Negativo,0,Negativo
1414,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,"Rio de Janeiro, Brasil",1049,Positivo,1,Positivo
2758,substituica tribut isenca impost desvirtu vez pj menos empresari mam isenca quer prop aval substituica tribut ir iptu agradec,Recife/PE - Brasil,318,Negativo,0,Negativo
1239,apreend 300 tonel mercad import form irregul,Brasília,48845,Positivo,1,Positivo
1164,mai ser benedit,"Salvador, Bahia",126,Neutro,2,Neutro
2846,certific digit,,6,Neutro,2,Neutro
222,amig,Brasil,732,Neutro,2,Neutro
1396,3o grup logis prest apoi transport mater do doaco esta it medicoshospital equip eletron informa #maoamig #juntossomosmaisfort,Minas Gerais,342,Positivo,1,Positivo
903,dificult importaca sobretax produt vend brasil pox,"Ipatinga, Brasil",260,Negativo,0,Negativo
2603,sit bost vc vai ped informaca encaminh sit quer vc perc praz recolh mult burocrac burr ger sonegaca resolv declar ir perd ult hor stres,,75,Negativo,0,Negativo
2954,90 mil vizualizaco twitt favor curt retwitt,"Piauí, Brasil",13474,Neutro,2,Neutro
1411,bitcoim x capit soc doi lad moed acab autor integralizaca capit soc criptomoed ja consider ativ financ volatil pont atenca lei #bitcoin,"Rio Branco, AC, Brasil",1853,Positivo,1,Positivo
2267,pens aqu 3 album compr tax vou tom cu ter vend cois cas pag,,907,Negativo,0,Negativo
1953,autu 3 994 contribuint autorregulariz autu contribuint regulariz apo ter sid alert inconsistenc declaraco saib mais #rfb #regularizaca #fiscalizaca,"Distrito Federal, Brasil",6174,Positivo,1,Positivo
1779,#receitafeder #apreensaohistor #sant #acoesdareceit #areceitafederalnaop,"Manaus, Brasil",0,Positivo,1,Positivo
1600,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Pindamonhangaba, Brasil",172,Positivo,1,Positivo
2376,vc declar rend mim fi,"Belo Horizonte, Brasil",3928,Neutro,2,Neutro
2028,flavi bolsonar advog tre reunio ped dad ate aparelh,RJ 021,11,Negativo,0,Negativo
1823,#vacin viracop lib rapid mai lot vacin covid19 receb pal operaca espec vesp natal liber form cel cerc 5 5 milho dos imuniz saib mais #covid19 #rfb #viracop,"Novo Hamburgo, Brasil",113,Positivo,1,Positivo
2957,quer beb agu 50% trat beb assim quis #tratamentoprecocesalvav,Brasil,183,Neutro,2,Neutro
1333,pendenc cpf pod ser regular canal virtual correca gratuit internet cust 7 real cas contribuint opt utiliz red conveni cartori,"Olaria, Rio de Janeiro",331,Positivo,1,Positivo
972,#operaca lav dinh chocolat imovel quer salv flavi jair,Coré-etuba ,1057,Neutro,2,Neutro
1515,cad result investigaco filh conden palavr ate ficara posterg investigaco quant dem,"São Paulo, Brasil",1543,Negativo,0,Negativo
2901,presid milici genoc bolsonar junt ministr filh sim organizaca crimin alt perig genoc,,362,Neutro,2,Neutro
1014,5/10 ridicul pate temp amig temp dess cid brasil total desperdic hoj 30/12/2020 e +ridicul pate aind desperdic seman vem desesperada/preoculp ind ate campin nad,,0,Negativo,0,Negativo
2501,trag govern afet drastic milho ganhav ganh desesper #forabolsonar kkkkk,"Belo Horizonte, Brasil",12,Negativo,0,Negativo
1028,seg trabalh simplific vid cidada brasil estabelec parc busc inovaco tecnolog,Brasil,330322,Positivo,1,Positivo
1906,correca gratuit internet cust 7 real cas contribuint opt utiliz red conveni banc brasil caix econom correi cartori saib mais #receitafeder #cpf #atend,Brasil,642,Positivo,1,Positivo
2526,bost amg hoj manh tav chuv fil aguent,greendale,2217,Negativo,0,Negativo
2103,contribuint caiu malh fin concord val mult lanc pod apresent defês mei ecac part hoj 7 propri sistem ha informaco preench defês informaco abr,Brasil,220,Positivo,1,Positivo
1193,atend ta pi sei que tent var man entr contat pessoal trabalh aqu cidad impossi resolv atualizaca cpf,No coração do Léo zin ❤️,169,Negativo,0,Negativo
68,fud,,1532,Neutro,2,Neutro
1211,parab,Brasília-DF Brasil,3522,Positivo,1,Positivo
678,sistem dificil abus so um pouc conseg acess,,210,Negativo,0,Negativo
1522,#operacaoconcord deflagr apoi polic militar/rn polic civil/rn corp bombeiros/rn saib em,,334,Positivo,1,Positivo
1589,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Bandar Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",1453,Positivo,1,Positivo
568,*receit apreend 670 kg cocain carg goiab port santos*,,1335,Positivo,1,Positivo
2545,deu 10000000%%% err leila,João Pessoa ,97,Negativo,0,Negativo
996,contribuint declaraca ret malh concord val lanc ja pod apresent defês mei ecac necess comparec unidad atend,Brasília - DF,300055,Positivo,1,Positivo
1221,precis regular dad cadastr pesso fisic #cpf disponibiliz canal virtual gratuit serv vej,Brasília - DF,299913,Positivo,1,Positivo
1356,seri presid acab lavajat,"Balneário Camboriú, Brasil",1484,Neutro,2,Neutro
615,boa tard ond consig detalh lei hav exempl algum lug sit poss simul encontr list instituico doaca favor,"Fortaleza, Brasil",357,Neutro,2,Neutro
1001,autu 3 994 contribuint autorregulariz apo ter sid alert inconsistenc declaraco agenc brasil,Brasília/DF,163120,Positivo,1,Positivo
196,capita pai man,"Rio de Janeiro, Brasil",189,Neutro,2,Neutro
626,cad lot resid restituica impost rend me dezembr 2020,Brasil,64,Negativo,0,Negativo
2633,jus sant conced limin atac neym suspend cobranc feit unia 88 148 707 21 val refer mult aplic impost supost dev jog,"São Paulo, Brasil",228,Negativo,0,Negativo
2176,sab pendenc relat cpf pod ser regular grac canal virtual cas opt red conveni banc brasil caix econom feder correi cartori cust apen 7,,400157,Positivo,1,Positivo
1227,quant advog cobr quant vult defend client 70% compr sentenc coaf etc pod investig movimentaca atip dess pesso nad pod ser prov par prendel,fortaleza. city natal cedro-ce,11005,Neutro,2,Neutro
1756,#cpf atend cpf cartori registr civil ja real tod brasil saib mais #rfb #cpf #cartori #atend #receitafeder,Brazil,1760,Positivo,1,Positivo
1431,forc arm apreend 2 milho mac cigarr sergip mater apreend milit contabil perici alem ter sid classific contrab conf mat complet defês,"Sobrinho, Campo Grande",175,Positivo,1,Positivo
1573,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"São Bernardo do Campo, Brasil",432,Positivo,1,Positivo
2264,correi acab assassin junt,são paulo / brazil,415,Negativo,0,Negativo
1836,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,,4135,Positivo,1,Positivo
3029,distrit feder aqu rac so funcionari publ viu part pulg fic cachorr com migalh funcionari publ,"Brasília, Brasil",129,Negativo,0,Negativo
1783,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,Brasil,12,Positivo,1,Positivo
2161,tutor ser roub govern brasil compr produt 45 dol chin receb taxaca 142 37,,44,Negativo,0,Negativo
1607,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"Sedona, USA",2772,Positivo,1,Positivo
2261,obrig tax camis,"Distrito Federal, Brasil",289,Negativo,0,Negativo
2993,ger precis trabalh vam,Brazil,177,Negativo,0,Negativo
2435,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,"Rio de Janeiro, Brasil",1524,Neutro,2,Neutro
2585,sao poder cois nenhum poder dev ser otari pag impost control federal/cpf trabalh dec p/sustent porr d/mordom d/513+81 quas tod band brasil assemelh cao vir lat,"Rio de Janeiro, Brasil",16111,Negativo,0,Negativo
1924,it encontr hav tv box rastre internet calc ocul bols outr saib mais #receitafeder #adu #apreensa,,1475,Positivo,1,Positivo
1060,bolet devid pag lib roup ai,"Aracaju, Brasil",114,Negativo,0,Negativo
2850,quis debat comig so respond lacraca segu lei faz fals acusaca ach nao pod exclu cont segu vid agor qu fal mont beste aqu cient sempr ter algu respond,,9,Neutro,2,Neutro
1403,comec ano cans,Maringá - PR,133,Positivo,1,Positivo
3027,funcion download program irpf 2020 fac baix link dand err,"sao paulo, brazil",500,Negativo,0,Negativo
1683,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,"Porto Velho, Brazil",1679,Positivo,1,Positivo
2857,deeee,Sumé-Pb-Brasil,304,Neutro,2,Neutro
817,vergonh queim dinh publ aco inutel,,2,Negativo,0,Negativo
856,dev ter vergonh diz esta tir dinh pov enquant tent recuper merd vc fiz,Brasil,2879,Negativo,0,Negativo
2567,atend bost pessoal soneg impost pq sab atend inform vc dev pag pess atend impost roub,,20,Negativo,0,Negativo
1696,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,Brasil,5885,Positivo,1,Positivo
1680,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,,61,Positivo,1,Positivo
999,abr hoj 22 consult lot resid restituica #impostoderend credit bancari 200 mil contribuint ser realiz 30 dezembr informaco,Brasília - DF,299248,Positivo,1,Positivo
1280,parab,"Chapecó, Brasil",5377,Positivo,1,Positivo
54,vai faz oq ped declar, bsb,885,Neutro,2,Neutro
1577,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,837,Positivo,1,Positivo
1090,defês flavi bolsonar 3 reunio advog luci pires juli bierrenbach quer prov existenc organizaca crimin farsajat organizaca crimin document ning faz nad,,8389,Neutro,2,Neutro
1091,defês flavi bolsonar 3 reunio advog luci pires juli bierrenbach quer prov existenc organizaca crimin farsajat organizaca crimin document ning faz nad,,8385,Neutro,2,Neutro
2576,odi aqu atras horr,,252,Negativo,0,Negativo
2156,tomanocu faz sit decent carai,fundo do poço,128,Negativo,0,Negativo
2690,vai prorrog joc,Brazil,178,Negativo,0,Negativo
667,serv mal funcion ond funcionari pod dar informaco kkkkkkk parab beliss trabalh,"Rio Verde, Brasil",145,Negativo,0,Negativo
1800,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,Brasil,2444,Positivo,1,Positivo
1858,feder polic ministeri publ deflagr hoj 12/01 79a fas operaca lav jat denomin operaca vernissag saib mais #receitafeder #fiscalizaca #lavajat,,5669,Positivo,1,Positivo
1020,bloque recurs municipi comprov bloquei err mostr comprov funcionari olh cidada municipi urucara sent hoj precariedad atend manau atend mal,,277,Negativo,0,Negativo
2680,and situaca tud cert,São Paulo - Brasil,69,Negativo,0,Negativo
340,so procur ach,Brazil,5823,Negativo,0,Negativo
2332,ign q 30% diss vai pro lea feder 1 carr import lux basic 3 carr pro govern 1 lamb q cust u$60k aqu r$2 5 milho d real so sobr imovel cuj tax n depen tant nov ric,,354,Neutro,2,Neutro
2631,atenca chegouuuu,,1210,Neutro,2,Neutro
2869,forc viru aproveit ai,Coré-etuba ,1055,Neutro,2,Neutro
2848,fort abrac fic deu,,9,Neutro,2,Neutro
1034,alo atenca doid dess desgovern alhei cris dor sanc aument 67% verb public,,9737,Neutro,2,Neutro
991,inform program ger document arrecadaca simpl nacion microempreend individ pgm send ajust adequaca calcul #ins bas nov val salari min agenc brasil /arq,Brasília - DF,300130,Positivo,1,Positivo
2590,acord jos mar trindad patrimoni declar brun cov 105 mil seri declar iss seri tse acredit car ja deput engenh cl med fez salari liter queim,Florida-USA,5445,Negativo,0,Negativo
2467,wyll marqu ferr juni nov deleg natal/rn,Caicó - Rio Grande do Norte,11113,Neutro,2,Neutro
234,bom dia eric codig defês consum artig 39 incis iii prescrev pra abus envi entreg consum solicitaca prev qualqu produt fornec qualqu serv,São Paulo,57171,Neutro,2,Neutro
387,vam cobr devolv dinh mlk,Somewhere,98,Negativo,0,Negativo
2216,ai amg infeliz so pod tax menin loj esta faz melhor form tent pass tax so esper tud cert,,9797,Negativo,0,Negativo
546,equip human maravilh #oiapoqu,Cayenne,699,Positivo,1,Positivo
2066,flavi bolsonar advog tre reunio ped dad ate aparelh,,598,Negativo,0,Negativo
190,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk ta pi estud direit eai wilhelm maximilian diagnost,Puta Que Pariu,27,Neutro,2,Neutro
3022,envi cpf resid exteri gov br,Maputo city,23,Negativo,0,Negativo
2491,precis ir atr dess casal maquin car receb auxili emerg,,994,Negativo,0,Negativo
1927,it encontr hav tv box rastre internet calc ocul bols outr saib mais #receitafeder #adu #apreensa,"Itapema, Brasil",18,Positivo,1,Positivo
904,ser tud declar,"Rio de Janeiro, Brasil",267,Neutro,2,Neutro
1362,correca pendenc relat #cpf gratuit internet ou cas contribuint opt utiliz red conveni cartori cust 7,"Rio de Janeiro, Brazil",172,Positivo,1,Positivo
2174,obrig declar pass 30k lucr maaa exist mil man burl kkkk equip amad jamal confiscara bitcoim,"Teresina, Brasil",59,Negativo,0,Negativo
1147,flavi bolsonar advog tre reunio ped dad ate aparelh,"Fortaleza, Brasil",6548,Negativo,0,Negativo
1390,3o grup logis prest apoi transport mater do doaco esta it medicoshospital equip eletron informa #maoamig #juntossomosmaisfort,,15,Positivo,1,Positivo
2378,r$27 700 000 000 00 vint set bilho setecent milho real itau unibanc dev brasil po um cobr desgrac cad brasil vc dev r$115 00 desgrac,YouTubePadrãoServiçosComércio,4071,Neutro,2,Neutro
1772,#leila realiz 30/12 leila equip eolic leila apen pesso jurid contempl equip eolic hidraul abandon empr set apresentaca propost vai ate dia 29/12 mais,Brasil ,8,Positivo,1,Positivo
1767,#facil implement impugnaca malh irpf internet contribuint pod entreg defês notificaca lanc decorr malh fiscal inte ecac saib mais #def #malhafisc #rfb #ecac #serv,Brasil ,8,Positivo,1,Positivo
2708,gent vam cobr aca ate responsa cri vergonh car rf ench sac tod ano reapresent document qq raza put,Caxambu MG,223,Negativo,0,Negativo
2583,cu n atualiz gener ai n poss alist faz qualqu cois ness bost,sp,330,Negativo,0,Negativo
1599,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"São Paulo, Brasil",2180,Positivo,1,Positivo
1671,caralh vai tom cu orga inutil caralh bast tax cois dev ser tax bast tax pres pag agor ta barr envi produt devoluca consegu devolv perc dinh band fdp corn,,124,Negativo,0,Negativo
511,eit vao peg dor gent,"São Paulo, Brasil",121,Neutro,2,Neutro
1267,parab,,746,Positivo,1,Positivo
1617,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,"São Paulo, Brasil",14561,Positivo,1,Positivo
769,atend ruim trist ja atend presenc fiz tod proced cheg virtual serv complet ruim tr n reconhec codig acess voc esta prejudic mal atend,,667,Negativo,0,Negativo
2764,repent mand organizaca desgovern feder,Brasil,531,Negativo,0,Negativo
1590,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,183,Positivo,1,Positivo
825,desbloque carta lea zinh precis not trabalh so profes vou pag impost assim receit,,785,Negativo,0,Negativo
2069,flavi bolsonar advog tre reunio ped dad ate aparelh,,344,Negativo,0,Negativo
2212,dinh tom cuid poi muit gent acab ferr pq faz form err,"Sorocaba, Brasil",67,Negativo,0,Negativo
2262,obrig feder vai lev *** vou ganh deu,Brasil,426,Negativo,0,Negativo
2076,flavi bolsonar advog tre reunio ped dad ate aparelh,"Rio de Janeiro, Brasil",1840,Negativo,0,Negativo
2521,vai prend feder,"N Federal Hwy, Boca Raton",53,Negativo,0,Negativo
1517,#operacaoconcord deflagr apoi polic militar/rn polic civil/rn corp bombeiros/rn saib em,"São Paulo, Brasil",463,Positivo,1,Positivo
1245,ignoranc,Estados Unidos,1429,Neutro,2,Neutro
1084,cont sao invisi,,59,Neutro,2,Neutro
2965,dossi dor pass suj politic via,São Paulo/SP,1855,Neutro,2,Neutro
246,boa tom parab,,2121,Positivo,1,Positivo
1625,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,,908,Positivo,1,Positivo
1938,mudanc ating apen empr obrig declaraca debit credit tributari feder previdenciari outr entidad fund dctfweb saib mais #receitafeder #servicosger #gfip,Brasil ,8,Neutro,2,Neutro
337,c ta luc va menos sab signific contrab caramb,,784,Neutro,2,Neutro
1712,med sao part estrateg integr atuaca contr fraud auxili emerg eiafa particip pf,22 Acacia Avenue  HELL,764,Positivo,1,Positivo
713,melhor voc cham sit poi horri telefon tir duvid 0800 func ta sacan voc implor brasil soneg impost possi odi,SP | ela/dela,124,Negativo,0,Negativo
